Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth1,1,2024-11-18 06:50:38.676,fe80::21d:9cff:fec7:b070,ff02::16,ICMPV6,90,ICMPV6
s1-eth1,2,2024-11-18 06:50:38.676,fe80::21d:9cff:fec7:b070,ff02::2,ICMPV6,70,ICMPV6
s1-eth1,3,2024-11-18 06:50:38.696,fe80::98de:5bff:fea6:a8b9,ff02::fb,MDNS,227,MDNS
s1-eth1,4,2024-11-18 06:50:38.727,fe80::21d:9cff:fec7:b070,ff02::16,ICMPV6,90,ICMPV6
s1-eth3,1,2024-11-18 06:50:38.762,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,227,MDNS
s1-eth1,5,2024-11-18 06:50:38.868,fe80::98de:5bff:fea6:a8b9,ff02::16,ICMPV6,90,ICMPV6
s1-eth3,2,2024-11-18 06:50:38.962,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,215,MDNS
s1-eth1,6,2024-11-18 06:50:38.896,fe80::98de:5bff:fea6:a8b9,ff02::fb,MDNS,215,MDNS
s1-eth3,3,2024-11-18 06:50:39.124,fe80::21d:9cff:fec8:bdf2,ff02::16,ICMPV6,90,ICMPV6
s1-eth1,7,2024-11-18 06:50:39.075,fe80::98de:5bff:fea6:a8b9,ff02::fb,MDNS,107,MDNS
s1-eth2,1,2024-11-18 06:50:38.740,fe80::c87a:deff:fe55:81fe,ff02::16,ICMPV6,90,ICMPV6
s1-eth2,2,2024-11-18 06:50:38.740,fe80::c87a:deff:fe55:81fe,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,3,2024-11-18 06:50:38.743,fe80::c87a:deff:fe55:81fe,ff02::16,ICMPV6,90,ICMPV6
s1-eth2,4,2024-11-18 06:50:38.841,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,107,MDNS
s1-eth2,5,2024-11-18 06:50:38.961,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,227,MDNS
s1-eth2,6,2024-11-18 06:50:38.980,fe80::c87a:deff:fe55:81fe,ff02::16,ICMPV6,110,ICMPV6
s1-eth2,7,2024-11-18 06:50:39.132,fe80::c87a:deff:fe55:81fe,ff02::16,ICMPV6,90,ICMPV6
s1-eth3,4,2024-11-18 06:50:39.141,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,107,MDNS
s1-eth1,8,2024-11-18 06:50:39.144,192.168.1.10,192.168.1.20,TCP,74,54960 → 44818 0x0002
s1-eth2,8,2024-11-18 06:50:39.144,192.168.1.10,192.168.1.20,TCP,74,54960 → 44818 0x0002
s1-eth2,9,2024-11-18 06:50:39.144,192.168.1.20,192.168.1.10,TCP,74,44818 → 54960 0x0012
s1-eth1,9,2024-11-18 06:50:39.144,192.168.1.20,192.168.1.10,TCP,74,44818 → 54960 0x0012
s1-eth2,10,2024-11-18 06:50:39.144,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0010
s1-eth1,10,2024-11-18 06:50:39.144,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0010
s1-eth1,11,2024-11-18 06:50:39.172,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,11,2024-11-18 06:50:39.173,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,12,2024-11-18 06:50:39.173,192.168.1.20,192.168.1.10,TCP,66,44818 → 54960 0x0010
s1-eth1,13,2024-11-18 06:50:39.178,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,14,2024-11-18 06:50:39.178,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0010
s1-eth1,15,2024-11-18 06:50:39.180,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,12,2024-11-18 06:50:39.173,192.168.1.20,192.168.1.10,TCP,66,44818 → 54960 0x0010
s1-eth2,13,2024-11-18 06:50:39.178,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,14,2024-11-18 06:50:39.178,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0010
s1-eth1,16,2024-11-18 06:50:39.193,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,17,2024-11-18 06:50:39.198,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0011
s1-eth1,18,2024-11-18 06:50:39.198,192.168.1.20,192.168.1.10,TCP,66,44818 → 54960 0x0011
s1-eth1,19,2024-11-18 06:50:39.199,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0010
s1-eth1,20,2024-11-18 06:50:39.432,192.168.1.10,192.168.1.30,TCP,74,46272 → 44818 0x0002
s1-eth3,5,2024-11-18 06:50:39.432,192.168.1.10,192.168.1.30,TCP,74,46272 → 44818 0x0002
s1-eth3,6,2024-11-18 06:50:39.432,192.168.1.30,192.168.1.10,TCP,74,44818 → 46272 0x0012
s1-eth2,15,2024-11-18 06:50:39.180,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,16,2024-11-18 06:50:39.193,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,17,2024-11-18 06:50:39.198,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0011
s1-eth1,21,2024-11-18 06:50:39.432,192.168.1.30,192.168.1.10,TCP,74,44818 → 46272 0x0012
s1-eth1,22,2024-11-18 06:50:39.432,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth3,7,2024-11-18 06:50:39.432,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth1,23,2024-11-18 06:50:39.461,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,8,2024-11-18 06:50:39.461,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,9,2024-11-18 06:50:39.461,192.168.1.30,192.168.1.10,TCP,66,44818 → 46272 0x0010
s1-eth1,24,2024-11-18 06:50:39.461,192.168.1.30,192.168.1.10,TCP,66,44818 → 46272 0x0010
s1-eth2,18,2024-11-18 06:50:39.198,192.168.1.20,192.168.1.10,TCP,66,44818 → 54960 0x0011
s1-eth2,19,2024-11-18 06:50:39.199,192.168.1.10,192.168.1.20,TCP,66,54960 → 44818 0x0010
s1-eth2,20,2024-11-18 06:50:39.211,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,227,MDNS
s1-eth2,21,2024-11-18 06:50:39.461,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,227,MDNS
s1-eth3,10,2024-11-18 06:50:39.464,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,25,2024-11-18 06:50:39.464,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,26,2024-11-18 06:50:39.464,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth3,11,2024-11-18 06:50:39.464,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth1,27,2024-11-18 06:50:39.466,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,12,2024-11-18 06:50:39.466,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,13,2024-11-18 06:50:39.478,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,28,2024-11-18 06:50:39.478,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,29,2024-11-18 06:50:39.482,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0011
s1-eth3,14,2024-11-18 06:50:39.482,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0011
s1-eth3,15,2024-11-18 06:50:39.483,192.168.1.30,192.168.1.10,TCP,66,44818 → 46272 0x0011
s1-eth1,30,2024-11-18 06:50:39.483,192.168.1.30,192.168.1.10,TCP,66,44818 → 46272 0x0011
s1-eth1,31,2024-11-18 06:50:39.483,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth3,16,2024-11-18 06:50:39.483,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth2,22,2024-11-18 06:50:39.661,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,215,MDNS
s1-eth2,23,2024-11-18 06:50:39.842,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,107,MDNS
